Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;1;4;0.5;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;1;1;0.5;0.5
std-NetwerkPartitie;0;1;0;1
Opstarten;14;14;4;4
Connect;17;18;1;1
Disconnect;3;7;0.5;1
Berichten;8;8;1;1
BerichtNaVerandering;7;7;0.5;0.5
NetwerkPartitie;0;4;0;1
Fout in de locking;-;-;-2;-
BovenLimiet;0;1;0;1
Totaal;-;-;12;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
55514 < //SendRT 55510
55510 < //SendRT 55514
55512 < //SendRT 55506
55510 < //ReadRT 55501
55506 < Afstand naar 55512 is nu 1 via 55512
55514 < //SendRT 55501
55512 < //ReadRT 55502
55504 < //ReadRT 55510
55510 < //ReadRT 55501
55514 < //ReadRT 55513
55512 < //ReadRT 55514
55510 < //ReadRT 55501
55506 < Afstand naar 55511 is nu 2 via 55512
55510 < //ReadRT 55501
55512 < //SendRT 55511
55514 < //ReadRT 55501
55511 < //ReadRT 55512
55513 < //ReadRT 55512
55512 < //ReadRT 55502
55514 < //ReadRT 55513
55502 < Afstand naar 55507 is nu 2 via 55512
55510 < //ReadRT 55514
55513 < //ReadRT 55514
55512 < //SendRT 55513
55514 < //ReadRT 55513
55510 < //ReadRT 55501
55501 < //ReadRT 55502
55512 < //SendRT 55514
55502 < //SendRT 55501
55514 < //ReadRT 55513
55507 < //ReadRT 55512
55512 < Afstand naar 55508 is nu 2 via 55507
55514 < //SendRT 55513
55502 < //SendRT 55503
55514 < //SendRT 55512
55503 < //ReadRT 55502
55510 < //ReadRT 55514
55512 < Afstand naar 55507 is nu 1 via 55507
55514 < //ReadRT 55512
55502 < //SendRT 55512
55514 < //SendRT 55510
55502 < //ReadRT 55512
55512 < //ReadRT 55502
55511 < Afstand naar 55507 is nu 2 via 55512
55514 < //SendRT 55501
55512 < //SendRT 55502
55514 < //ReadRT 55510
55512 < //ReadRT 55502
55513 < //ReadRT 55512
55514 < //ReadRT 55510
55512 < //SendRT 55507
55514 < //ReadRT 55510
55512 < //SendRT 55506
55514 < //ReadRT 55510
55512 < //ReadRT 55513
55514 < Afstand naar 55507 is nu 2 via 55512
55512 < //ReadRT 55514
55512 < //ReadRT 55513
55512 < //ReadRT 55513
55512 < //ReadRT 55513
55512 < //SendRT 55511
55512 < //SendRT 55513
55512 < //SendRT 55514
55514 < //SendRT 55513
55513 < //ReadRT 55514
55512 < //SendRT 55502
55514 < //SendRT 55512
55502 < //ReadRT 55512
55514 < //SendRT 55510
55512 < //SendRT 55507
55510 < //ReadRT 55514
55507 < //ReadRT 55512
55514 < //SendRT 55501
55514 < //ReadRT 55512
55512 < //SendRT 55506
55512 < //ReadRT 55514
55512 < //ReadRT 55507
55512 < //ReadRT 55502
55512 < //ReadRT 55507
55512 < //SendRT 55511
55512 < //SendRT 55513
55513 < //ReadRT 55512
55512 < //ReadRT 55507
55512 < //SendRT 55514
55514 < //ReadRT 55512
55502 < //ReadRT 55512
55512 < //SendRT 55502
55512 < //SendRT 55507
55507 < //ReadRT 55512
55512 < //SendRT 55506
55500 < Verbonden: 55508
55500 < //SendRT 55501
55501 < //ReadRT 55500
55500 < //SendRT 55508
55500 < //ReadRT 55508
55508 < Client connects: 55500
55508 < Afstand naar 55500 is nu 1 via 55500
55500 < //SendRT 55501
55508 < //SendRT 55507
55501 < //ReadRT 55500
55500 < //SendRT 55508
55507 < Afstand naar 55500 is nu 2 via 55508
55508 < //SendRT 55509
55500 < //ReadRT 55501
55500 < //ReadRT 55508
55500 < Afstand naar 55511 is nu 3 via 55508
55508 < //SendRT 55503
55507 < //SendRT 55506
55500 < //ReadRT 55501
55503 < Afstand naar 55500 is nu 2 via 55508
55500 < //SendRT 55501
55507 < //SendRT 55508
55501 < //ReadRT 55500
55506 < //ReadRT 55507
55500 < //SendRT 55508
55508 < //SendRT 55506
55500 < //ReadRT 55508
55500 < //ReadRT 55508
55507 < //SendRT 55512
55500 < Afstand naar 55513 is nu 3 via 55508
55503 < //SendRT 55502
55506 < //ReadRT 55508
55508 < //SendRT 55500
55507 < //ReadRT 55508
55503 < //SendRT 55504
55508 < //ReadRT 55500
55500 < //SendRT 55501
55512 < //ReadRT 55507
55501 < //ReadRT 55500
55508 < //ReadRT 55507
55503 < //SendRT 55511
55500 < //SendRT 55508
55502 < //ReadRT 55503
55508 < //ReadRT 55500
55500 < //ReadRT 55508
55508 < //ReadRT 55500
55503 < //SendRT 55508
55500 < //ReadRT 55508
55508 < //ReadRT 55500
55504 < //ReadRT 55503
55500 < //ReadRT 55508
55503 < //SendRT 55509
55503 < //ReadRT 55508
55508 < //ReadRT 55503
55500 < //ReadRT 55501
55500 < //ReadRT 55501
55500 < //ReadRT 55501
55511 < Verbonden: 55513
55511 < //SendRT 55510
55505 < Verbonden: 55511
55510 < //ReadRT 55511
55511 < //SendRT 55512
55505 < //SendRT 55504
55512 < //ReadRT 55511
55511 < //SendRT 55503
55505 < //SendRT 55506
55511 < //SendRT 55505
55503 < //ReadRT 55511
55504 < //ReadRT 55505
55505 < //SendRT 55511
55506 < //ReadRT 55505
55505 < //ReadRT 55511
55511 < //SendRT 55513
55511 < //ReadRT 55503
55505 < //SendRT 55504
55513 < Client connects: 55511
55511 < //SendRT 55510
55513 < Afstand naar 55511 is nu 1 via 55511
55504 < //ReadRT 55505
55505 < //SendRT 55506
55510 < //ReadRT 55511
55513 < Afstand naar 55503 is nu 2 via 55511
55511 < Client connects: 55505
55513 < //SendRT 55512
55505 < //SendRT 55511
55506 < //ReadRT 55505
55511 < //SendRT 55512
55505 < //ReadRT 55506
55511 < Afstand naar 55505 is nu 1 via 55505
55513 < //SendRT 55514
55512 < //ReadRT 55513
55505 < //ReadRT 55511
55513 < //SendRT 55511
55512 < //ReadRT 55511
55505 < //ReadRT 55506
55511 < //SendRT 55503
55514 < //ReadRT 55513
55505 < //ReadRT 55506
55511 < //SendRT 55505
55513 < //SendRT 55506
55505 < //ReadRT 55506
55503 < //ReadRT 55511
55505 < //ReadRT 55511
55513 < //SendRT 55509
55513 < //ReadRT 55511
55506 < //ReadRT 55513
55511 < //SendRT 55513
55513 < //ReadRT 55511
55511 < //ReadRT 55513
55511 < //SendRT 55510
55510 < Afstand naar 55505 is nu 2 via 55511
55512 < Afstand naar 55505 is nu 2 via 55511
55511 < //SendRT 55512
55511 < //SendRT 55503
55503 < //ReadRT 55511
55511 < //ReadRT 55503
55511 < //SendRT 55505
55505 < //ReadRT 55511
55511 < //SendRT 55513
55513 < //ReadRT 55511
55511 < //ReadRT 55503
55511 < //ReadRT 55513
55511 < //ReadRT 55503
55511 < //SendRT 55510
55511 < //SendRT 55512
55511 < //SendRT 55503
55503 < //ReadRT 55511
55511 < //SendRT 55505
55505 < //ReadRT 55511
55511 < //SendRT 55513
55513 < //ReadRT 55511
55511 < //ReadRT 55510
55511 < //ReadRT 55510
55511 < //ReadRT 55503
55511 < //ReadRT 55513
55511 < //SendRT 55510
55511 < //SendRT 55512
55503 < //ReadRT 55511
55511 < //SendRT 55503
55511 < //SendRT 55505
55511 < //ReadRT 55513
55509 < Verbonden: 55503
55505 < //ReadRT 55511
55513 < //ReadRT 55511
55511 < //SendRT 55513
55511 < //ReadRT 55512
55508 < //ReadRT 55509
55509 < //SendRT 55508
55511 < //ReadRT 55513
55511 < //ReadRT 55512
55509 < //SendRT 55510
55510 < //ReadRT 55509
55511 < //SendRT 55510
55509 < //SendRT 55513
55511 < //SendRT 55512
55513 < //ReadRT 55509
55509 < //SendRT 55503
55503 < //ReadRT 55511
55511 < //ReadRT 55513
55509 < //ReadRT 55503
55511 < //SendRT 55503
55509 < //SendRT 55508
55503 < Afstand naar 55509 is nu 1 via 55509
55511 < //SendRT 55505
55509 < //SendRT 55510
55508 < //ReadRT 55509
55505 < //ReadRT 55511
55510 < //ReadRT 55509
55509 < Client connects: 55513
55503 < Client connects: 55509
55511 < //SendRT 55513
55513 < //ReadRT 55511
55509 < //SendRT 55513
55511 < //ReadRT 55505
55503 < //SendRT 55502
55509 < Afstand naar 55513 is nu 1 via 55513
55513 < //ReadRT 55509
55502 < Afstand naar 55509 is nu 2 via 55503
55511 < //ReadRT 55505
55508 < //ReadRT 55509
55503 < //SendRT 55504
55504 < //ReadRT 55503
55501 < //ReadRT 55502
55511 < //ReadRT 55503
55509 < Afstand naar 55512 is nu 2 via 55513
55510 < //ReadRT 55509
55502 < //SendRT 55501
55503 < //SendRT 55511
55513 < //ReadRT 55509
55511 < //ReadRT 55503
55512 < //ReadRT 55502
55502 < //SendRT 55503
55508 < //ReadRT 55503
55511 < //ReadRT 55503
55503 < //SendRT 55508
55509 < //SendRT 55503
55502 < //SendRT 55512
55509 < //ReadRT 55508
55502 < //ReadRT 55503
55509 < //SendRT 55508
55503 < //SendRT 55509
55509 < //SendRT 55510
55503 < //ReadRT 55509
55509 < //SendRT 55513
55509 < //SendRT 55503
55508 < //ReadRT 55509
55503 < //ReadRT 55509
55509 < //ReadRT 55510
55503 < //ReadRT 55509
55509 < //ReadRT 55503
55509 < //ReadRT 55503
55509 < //ReadRT 55503
55510 < //ReadRT 55509
55509 < //ReadRT 55510
55509 < //ReadRT 55503
55503 < //ReadRT 55502
55509 < //ReadRT 55508
55513 < //ReadRT 55509
55509 < //SendRT 55508
55509 < //SendRT 55510
55509 < //SendRT 55513
55509 < //SendRT 55503
55509 < //ReadRT 55513
55503 < //ReadRT 55509
55509 < //ReadRT 55513
55509 < //ReadRT 55508
55509 < Afstand naar 55500 is nu 2 via 55508
55509 < //ReadRT 55503
55509 < //SendRT 55508
55508 < //ReadRT 55509
55510 < //ReadRT 55509
55509 < //SendRT 55510
55509 < //SendRT 55513
55513 < //ReadRT 55509
55503 < //ReadRT 55509
55509 < //SendRT 55503
55509 < //ReadRT 55508
55501 < Verbonden: 55513
55501 < //SendRT 55500
55500 < Afstand naar 55514 is nu 2 via 55501
55500 < //SendRT 55501
55501 < //SendRT 55502
55502 < //ReadRT 55501
55501 < //SendRT 55506
55500 < //SendRT 55508
55506 < //ReadRT 55501
55508 < //ReadRT 55500
55514 < //ReadRT 55501
55501 < //SendRT 55514
55500 < //ReadRT 55501
55513 < Client connects: 55501
55501 < //SendRT 55510
55510 < //ReadRT 55501
55513 < Afstand naar 55500 is nu 2 via 55501
55513 < Afstand naar 55501 is nu 1 via 55501
55501 < //SendRT 55513
55501 < //ReadRT 55514
55501 < //ReadRT 55500
55501 < //ReadRT 55514
55500 < //ReadRT 55501
55501 < //SendRT 55500
55502 < //ReadRT 55501
55501 < //ReadRT 55514
55501 < //SendRT 55502
55501 < Afstand naar 55510 is nu 2 via 55514
55506 < //ReadRT 55501
55501 < //SendRT 55506
55514 < //ReadRT 55501
55501 < //SendRT 55514
55501 < //SendRT 55510
55510 < //ReadRT 55501
55501 < //SendRT 55513
55500 < //ReadRT 55501
55501 < //SendRT 55500
55502 < //ReadRT 55501
55501 < //SendRT 55502
55506 < //ReadRT 55501
55501 < //SendRT 55506
55501 < //SendRT 55514
55514 < //ReadRT 55501
55510 < //ReadRT 55501
55501 < //SendRT 55510
55501 < //SendRT 55513
55501 < //ReadRT 55514
55501 < //ReadRT 55514
55501 < //ReadRT 55514
55501 < //ReadRT 55514
55506 < Verbonden: 55512
55506 < //SendRT 55505
55505 < //ReadRT 55506
55512 < Client connects: 55506
55506 < //SendRT 55507
55507 < //ReadRT 55506
55506 < //SendRT 55513
55510 < Verbonden: 55501
55513 < //ReadRT 55506
55506 < //SendRT 55501
55510 < //SendRT 55509
55501 < //ReadRT 55506
55506 < //SendRT 55508
55510 < //SendRT 55511
55508 < //ReadRT 55506
55509 < //ReadRT 55510
55512 < Afstand naar 55506 is nu 1 via 55506
55506 < //SendRT 55512
55511 < //ReadRT 55510
55501 < Client connects: 55510
55510 < //SendRT 55504
55506 < //ReadRT 55512
55504 < //ReadRT 55510
55514 < //ReadRT 55510
55500 < Afstand naar 55510 is nu 2 via 55501
55502 < Afstand naar 55510 is nu 2 via 55501
55501 < Afstand naar 55510 is nu 1 via 55510
55510 < Client connects: 55504
55506 < //ReadRT 55512
55509 < //ReadRT 55510
55514 < Afstand naar 55504 is nu 3 via 55501
55510 < //SendRT 55514
55506 < //ReadRT 55512
55511 < //ReadRT 55510
55500 < //SendRT 55501
55508 < //ReadRT 55500
55502 < //SendRT 55501
55501 < Afstand naar 55509 is nu 2 via 55510
55510 < Afstand naar 55504 is nu 1 via 55504
55506 < //ReadRT 55512
55505 < //ReadRT 55506
55500 < //SendRT 55508
55504 < //ReadRT 55510
55502 < //SendRT 55503
55503 < //ReadRT 55502
55514 < //SendRT 55513
55500 < //ReadRT 55501
55506 < Afstand naar 55510 is nu 2 via 55501
55502 < //SendRT 55512
55512 < //ReadRT 55502
55507 < //ReadRT 55506
55514 < //SendRT 55512
55501 < Afstand naar 55511 is nu 2 via 55510
55510 < //SendRT 55501
55513 < //ReadRT 55514
55512 < //ReadRT 55514
55510 < //ReadRT 55511
55502 < //ReadRT 55501
55514 < //SendRT 55510
55513 < //ReadRT 55506
55506 < //SendRT 55505
55508 < //ReadRT 55506
55501 < Afstand naar 55504 is nu 2 via 55510
55510 < //ReadRT 55511
55514 < //SendRT 55501
55513 < //ReadRT 55514
55506 < //SendRT 55507
55512 < //ReadRT 55514
55510 < //ReadRT 55511
55514 < //ReadRT 55501
55506 < //SendRT 55513
55501 < //SendRT 55500
55510 < //ReadRT 55511
55506 < //SendRT 55501
55514 < Afstand naar 55504 is nu 2 via 55510
55501 < //SendRT 55502
55510 < //SendRT 55509
55506 < //SendRT 55508
55501 < //SendRT 55506
55510 < //SendRT 55511
55506 < //SendRT 55512
55514 < //SendRT 55513
55510 < //SendRT 55504
55501 < //SendRT 55514
55506 < //ReadRT 55501
55514 < //SendRT 55512
55510 < //SendRT 55514
55501 < //SendRT 55510
55514 < //SendRT 55510
55510 < //SendRT 55501
55501 < //ReadRT 55500
55514 < //SendRT 55501
55510 < //ReadRT 55504
55501 < //SendRT 55513
55514 < //ReadRT 55510
55510 < //ReadRT 55504
55501 < //ReadRT 55510
55510 < //ReadRT 55504
55501 < //ReadRT 55502
55510 < //ReadRT 55501
55501 < //ReadRT 55510
55501 < //ReadRT 55506
55510 < //ReadRT 55504
55501 < //ReadRT 55514
55501 < //ReadRT 55514
55510 < //ReadRT 55514
55510 < //ReadRT 55514
55512 < Verbonden: 55504
55512 < //SendRT 55511
55511 < //ReadRT 55512
55504 < Client connects: 55512
55513 < //ReadRT 55512
55512 < //SendRT 55513
55514 < //ReadRT 55512
55512 < //SendRT 55514
55502 < //ReadRT 55512
55512 < //SendRT 55502
55507 < //ReadRT 55512
55512 < //SendRT 55507
55506 < //ReadRT 55512
55512 < //SendRT 55506
55504 < Afstand naar 55512 is nu 1 via 55512
55504 < Afstand naar 55513 is nu 2 via 55512
55504 < Afstand naar 55507 is nu 2 via 55512
55512 < //SendRT 55504
55512 < //ReadRT 55511
55512 < //ReadRT 55511
55512 < //ReadRT 55511
55512 < //ReadRT 55511
55512 < //SendRT 55511
55511 < //ReadRT 55512
55512 < //SendRT 55513
55513 < //ReadRT 55512
55512 < //SendRT 55514
55514 < //ReadRT 55512
55502 < //ReadRT 55512
55512 < //SendRT 55502
55507 < //ReadRT 55512
55512 < //SendRT 55507
55512 < //SendRT 55506
55506 < //ReadRT 55512
55512 < //SendRT 55504
55512 < //ReadRT 55506
55512 < //ReadRT 55506
55512 < //SendRT 55511
55511 < //ReadRT 55512
55512 < //SendRT 55513
55513 < //ReadRT 55512
55512 < //SendRT 55514
55514 < //ReadRT 55512
55502 < //ReadRT 55512
55512 < //SendRT 55502
55512 < //SendRT 55507
55507 < //ReadRT 55512
55506 < //ReadRT 55512
55512 < //SendRT 55506
55512 < //SendRT 55504
55513 < Verbonden: 55501
55513 < //SendRT 55512
55512 < //ReadRT 55513
55501 < Client connects: 55513
55513 < //SendRT 55514
55514 < //ReadRT 55513
55513 < //SendRT 55511
55511 < //ReadRT 55513
55513 < //SendRT 55506
55506 < //ReadRT 55513
55513 < //SendRT 55509
55509 < //ReadRT 55513
55501 < Afstand naar 55513 is nu 1 via 55513
55513 < //SendRT 55501
55513 < //ReadRT 55501
55513 < //ReadRT 55501
55513 < //ReadRT 55501
55513 < //ReadRT 55501
55500 < Afstand naar 55513 is nu 2 via 55501
55501 < //SendRT 55500
55501 < //SendRT 55502
55500 < //SendRT 55501
55501 < //SendRT 55506
55502 < //ReadRT 55501
55500 < //SendRT 55508
55500 < //ReadRT 55501
55501 < //SendRT 55514
55506 < //ReadRT 55501
55508 < //ReadRT 55500
55514 < //ReadRT 55501
55501 < //SendRT 55510
55510 < //ReadRT 55501
55501 < //SendRT 55513
55513 < //ReadRT 55501
55501 < //ReadRT 55513
55501 < //ReadRT 55500
55504 < Verbonden: 55512
55504 < //SendRT 55503
55504 < //SendRT 55505
55505 < //ReadRT 55504
55503 < //ReadRT 55504
55504 < //SendRT 55510
55510 < //ReadRT 55504
55512 < Client connects: 55504
55512 < Afstand naar 55504 is nu 1 via 55504
55504 < //SendRT 55512
55504 < //ReadRT 55512
55504 < //ReadRT 55512
55504 < //ReadRT 55512
55512 < //SendRT 55511
55511 < //ReadRT 55512
55513 < Afstand naar 55504 is nu 2 via 55512
55512 < //SendRT 55513
55513 < //SendRT 55512
55513 < //SendRT 55514
55514 < //ReadRT 55513
55512 < //SendRT 55514
55513 < //SendRT 55511
55514 < //ReadRT 55512
55513 < //SendRT 55506
55511 < //ReadRT 55513
55512 < //SendRT 55502
55506 < //ReadRT 55513
55502 < //ReadRT 55512
55513 < //SendRT 55509
55512 < //SendRT 55507
55509 < //ReadRT 55513
55513 < //SendRT 55501
55507 < Afstand naar 55504 is nu 2 via 55512
55513 < //ReadRT 55512
55501 < //ReadRT 55513
55512 < //SendRT 55506
55507 < //SendRT 55506
55506 < //ReadRT 55507
55506 < //ReadRT 55512
55512 < //SendRT 55504
55504 < //ReadRT 55512
55507 < //SendRT 55508
55512 < //ReadRT 55504
55508 < //ReadRT 55507
55512 < //ReadRT 55513
55512 < //ReadRT 55507
55507 < //SendRT 55512
55507 < //ReadRT 55512

Process 55500:
//ReadRT 55501
//ReadRT 55501
Client connects: 55508
Afstand naar 55508 is nu 1 via 55508
Afstand naar 55507 is nu 2 via 55508
Afstand naar 55509 is nu 2 via 55508
Afstand naar 55506 is nu 3 via 55508
Afstand naar 55505 is nu 4 via 55508
Afstand naar 55504 is nu 3 via 55508
Afstand naar 55503 is nu 2 via 55508
Afstand naar 55510 is nu 3 via 55508
Afstand naar 55511 is nu 4 via 55508
Afstand naar 55512 is nu 5 via 55508
Afstand naar 55513 is nu 6 via 55508
Afstand naar 55514 is nu 7 via 55508
Afstand naar 55505 is nu 3 via 55501
Afstand naar 55506 is nu 2 via 55501
Afstand naar 55512 is nu 3 via 55501
Afstand naar 55513 is nu 4 via 55501
Afstand naar 55514 is nu 4 via 55501
Verbonden: 55508
//SendRT 55501
//SendRT 55508
//ReadRT 55508
//SendRT 55501
//SendRT 55508
//ReadRT 55501
//ReadRT 55508
Afstand naar 55511 is nu 3 via 55508
//ReadRT 55501
//SendRT 55501
//SendRT 55508
//ReadRT 55508
//ReadRT 55508
Afstand naar 55513 is nu 3 via 55508
//SendRT 55501
//SendRT 55508
//ReadRT 55508
//ReadRT 55508
//ReadRT 55508
//ReadRT 55501
//ReadRT 55501
//ReadRT 55501
Afstand naar 55514 is nu 2 via 55501
//SendRT 55501
//SendRT 55508
//ReadRT 55501
//ReadRT 55501
//ReadRT 55501
Afstand naar 55510 is nu 2 via 55501
//SendRT 55501
//SendRT 55508
//ReadRT 55501
Afstand naar 55513 is nu 2 via 55501
//SendRT 55501
//SendRT 55508
//ReadRT 55501

Process 55501:
> C 55506
> C 55514
> C 55510
Verbonden: 55506
//SendRT 55500
//SendRT 55502
//SendRT 55506
> C 55513
Verbonden: 55514
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
Client connects: 55506
Afstand naar 55506 is nu 1 via 55506
Afstand naar 55505 is nu 2 via 55506
Afstand naar 55507 is nu 2 via 55506
Afstand naar 55508 is nu 3 via 55506
Afstand naar 55509 is nu 4 via 55506
Afstand naar 55510 is nu 5 via 55506
Afstand naar 55511 is nu 6 via 55506
Afstand naar 55512 is nu 7 via 55506
Afstand naar 55513 is nu 8 via 55506
Afstand naar 55514 is nu 9 via 55506
Afstand naar 55510 is nu 4 via 55502
Afstand naar 55511 is nu 3 via 55502
Afstand naar 55512 is nu 2 via 55502
Afstand naar 55513 is nu 3 via 55502
Afstand naar 55514 is nu 3 via 55502
Verbonden: 55510
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//ReadRT 55506
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//ReadRT 55502
Afstand naar 55508 is nu 2 via 55506
Afstand naar 55509 is nu 3 via 55506
//ReadRT 55502
//SendRT 55500
//SendRT 55502
//ReadRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//ReadRT 55506
//ReadRT 55502
Afstand naar 55513 is nu 2 via 55506
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//ReadRT 55506
//ReadRT 55506
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//ReadRT 55506
Client connects: 55514
Afstand naar 55514 is nu 1 via 55514
//ReadRT 55502
//ReadRT 55500
//ReadRT 55500
//ReadRT 55500
//ReadRT 55500
//ReadRT 55502
Verbonden: 55513
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//SendRT 55513
//ReadRT 55514
//ReadRT 55500
//ReadRT 55514
//SendRT 55500
//ReadRT 55514
//SendRT 55502
Afstand naar 55510 is nu 2 via 55514
//SendRT 55506
//SendRT 55514
//SendRT 55510
//SendRT 55513
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//SendRT 55513
//ReadRT 55514
//ReadRT 55514
//ReadRT 55514
//ReadRT 55514
//ReadRT 55506
Client connects: 55510
Afstand naar 55510 is nu 1 via 55510
Afstand naar 55509 is nu 2 via 55510
Afstand naar 55511 is nu 2 via 55510
Afstand naar 55504 is nu 2 via 55510
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//ReadRT 55500
//SendRT 55513
//ReadRT 55510
//ReadRT 55502
//ReadRT 55510
//ReadRT 55506
//ReadRT 55514
//ReadRT 55514
Client connects: 55513
Afstand naar 55513 is nu 1 via 55513
//SendRT 55500
//SendRT 55502
//SendRT 55506
//SendRT 55514
//SendRT 55510
//SendRT 55513
//ReadRT 55513
//ReadRT 55500
//ReadRT 55513

Process 55502:
//ReadRT 55501
Client connects: 55512
Afstand naar 55512 is nu 1 via 55512
Afstand naar 55511 is nu 2 via 55512
Afstand naar 55513 is nu 2 via 55512
Afstand naar 55510 is nu 3 via 55512
Afstand naar 55509 is nu 4 via 55512
Afstand naar 55508 is nu 5 via 55512
Afstand naar 55514 is nu 2 via 55512
Afstand naar 55507 is nu 3 via 55503
Afstand naar 55508 is nu 2 via 55503
Afstand naar 55509 is nu 3 via 55503
//ReadRT 55501
Verbonden: 55512
//SendRT 55501
//SendRT 55503
//SendRT 55512
//ReadRT 55512
//SendRT 55501
Afstand naar 55506 is nu 3 via 55512
//SendRT 55503
//SendRT 55512
//ReadRT 55503
//ReadRT 55503
//SendRT 55501
//SendRT 55503
//SendRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55503
//ReadRT 55503
//ReadRT 55503
Afstand naar 55506 is nu 2 via 55501
//SendRT 55501
//SendRT 55503
//SendRT 55512
//ReadRT 55501
//ReadRT 55501
//ReadRT 55501
//ReadRT 55503
//ReadRT 55501
//ReadRT 55501
//ReadRT 55512
Afstand naar 55507 is nu 2 via 55512
//SendRT 55501
//SendRT 55503
//SendRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55503
Afstand naar 55509 is nu 2 via 55503
//SendRT 55501
//SendRT 55503
//SendRT 55512
//ReadRT 55503
//ReadRT 55501
//ReadRT 55501
//ReadRT 55501
Afstand naar 55510 is nu 2 via 55501
//SendRT 55501
//SendRT 55503
//SendRT 55512
//ReadRT 55501
//ReadRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55501
//ReadRT 55512

Process 55503:
> C 55511
> C 55509
Client connects: 55508
Afstand naar 55508 is nu 1 via 55508
Afstand naar 55507 is nu 2 via 55508
Afstand naar 55509 is nu 2 via 55508
Afstand naar 55510 is nu 3 via 55508
Afstand naar 55511 is nu 4 via 55508
Afstand naar 55512 is nu 5 via 55508
Afstand naar 55513 is nu 6 via 55508
Afstand naar 55514 is nu 7 via 55508
Verbonden: 55511
Verbonden: 55508
//SendRT 55502
Client connects: 55511
//SendRT 55504
//SendRT 55511
//SendRT 55508
//ReadRT 55508
//ReadRT 55504
//ReadRT 55508
//SendRT 55502
//SendRT 55504
//SendRT 55511
//SendRT 55508
Afstand naar 55511 is nu 3 via 55502
Afstand naar 55512 is nu 2 via 55502
Afstand naar 55513 is nu 3 via 55502
Afstand naar 55514 is nu 3 via 55502
//ReadRT 55508
//ReadRT 55508
Afstand naar 55511 is nu 1 via 55511
Afstand naar 55510 is nu 2 via 55511
Afstand naar 55513 is nu 2 via 55511
Verbonden: 55509
//SendRT 55502
//SendRT 55504
//SendRT 55511
//SendRT 55508
//SendRT 55509
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//SendRT 55502
//SendRT 55504
//SendRT 55511
//SendRT 55508
//ReadRT 55508
//SendRT 55509
//SendRT 55502
//SendRT 55504
//SendRT 55511
//SendRT 55508
//SendRT 55509
//ReadRT 55511
//ReadRT 55502
Afstand naar 55506 is nu 2 via 55508
//SendRT 55502
//SendRT 55504
//SendRT 55511
//SendRT 55508
//SendRT 55509
//ReadRT 55508
//ReadRT 55508
//ReadRT 55504
//ReadRT 55504
//ReadRT 55508
//ReadRT 55504
//ReadRT 55504
//ReadRT 55502
Afstand naar 55500 is nu 2 via 55508
//SendRT 55502
//SendRT 55504
//SendRT 55511
//SendRT 55508
//SendRT 55509
//ReadRT 55508
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
Afstand naar 55509 is nu 1 via 55509
Client connects: 55509
//SendRT 55502
//SendRT 55504
//SendRT 55511
//SendRT 55508
//SendRT 55509
//ReadRT 55509
//ReadRT 55509
//ReadRT 55509
//ReadRT 55502
//ReadRT 55509
//ReadRT 55509
//ReadRT 55502
//ReadRT 55504

Process 55504:
Afstand naar 55508 is nu 2 via 55503
Afstand naar 55509 is nu 3 via 55503
Afstand naar 55510 is nu 4 via 55503
Afstand naar 55511 is nu 5 via 55503
Afstand naar 55512 is nu 6 via 55503
Afstand naar 55513 is nu 7 via 55503
Afstand naar 55514 is nu 8 via 55503
//SendRT 55503
//SendRT 55505
//ReadRT 55503
//ReadRT 55503
//ReadRT 55505
Client connects: 55510
Afstand naar 55510 is nu 1 via 55510
Afstand naar 55509 is nu 2 via 55510
Afstand naar 55511 is nu 2 via 55510
Afstand naar 55512 is nu 3 via 55510
Afstand naar 55513 is nu 4 via 55510
Afstand naar 55514 is nu 5 via 55510
Afstand naar 55513 is nu 3 via 55503
Afstand naar 55514 is nu 4 via 55503
Verbonden: 55510
